Annee;Subdivision;Sexe;Age quinquennal 80;Population
1983;Australes;Homme;20-24 ans;278
1983;Australes;Homme;25-29 ans;215
1983;Australes;Homme;30-34 ans;177
1983;Australes;Homme;35-39 ans;144
1983;Australes;Homme;40-44 ans;122
1983;Australes;Homme;45-49 ans;130
1983;Australes;Homme;50-54 ans;112
1983;Australes;Homme;55-59 ans;92
1983;Australes;Homme;60-64 ans;65
1983;Australes;Homme;65-69 ans;60
1983;Australes;Homme;70-74 ans;36
1983;Australes;Homme;75-79 ans;21
1983;Australes;Homme;80 ans et plus;14
1983;Australes;Femme;Moins de 5 ans;392
1983;Australes;Femme;5-9 ans;438
1983;Australes;Femme;10-14 ans;454
1983;Australes;Femme;15-19 ans;417
1983;Australes;Femme;20-24 ans;274
1983;Australes;Femme;25-29 ans;215
1983;Australes;Femme;30-34 ans;141
1983;Australes;Femme;35-39 ans;124
1983;Australes;Femme;40-44 ans;117
1983;Australes;Femme;45-49 ans;98
1983;Australes;Femme;50-54 ans;113
1983;Australes;Femme;55-59 ans;74
1983;Australes;Femme;60-64 ans;54
1983;Australes;Femme;65-69 ans;50
1983;Australes;Femme;70-74 ans;26
1983;Australes;Femme;75-79 ans;23
1983;Australes;Femme;80 ans et plus;9
1983;Tuamotu-Gambier;Homme;Moins de 5 ans;626
1983;Tuamotu-Gambier;Homme;5-9 ans;662
1983;Tuamotu-Gambier;Homme;10-14 ans;565
1983;Tuamotu-Gambier;Homme;15-19 ans;631
1983;Tuamotu-Gambier;Homme;20-24 ans;1 141
1983;Tuamotu-Gambier;Homme;25-29 ans;1 113
1983;Tuamotu-Gambier;Homme;30-34 ans;790
1983;Tuamotu-Gambier;Homme;35-39 ans;540
1983;Tuamotu-Gambier;Homme;40-44 ans;427
1983;Tuamotu-Gambier;Homme;45-49 ans;394
1983;Tuamotu-Gambier;Homme;50-54 ans;278
1983;Tuamotu-Gambier;Homme;55-59 ans;176
1983;Tuamotu-Gambier;Homme;60-64 ans;108
1983;Tuamotu-Gambier;Homme;65-69 ans;88
1983;Tuamotu-Gambier;Homme;70-74 ans;51
1983;Tuamotu-Gambier;Homme;75-79 ans;32
1983;Tuamotu-Gambier;Homme;80 ans et plus;12
1983;Tuamotu-Gambier;Femme;Moins de 5 ans;723
1983;Tuamotu-Gambier;Femme;5-9 ans;613
1983;Tuamotu-Gambier;Femme;10-14 ans;509
1983;Tuamotu-Gambier;Femme;15-19 ans;422
1983;Tuamotu-Gambier;Femme;20-24 ans;382
1983;Tuamotu-Gambier;Femme;25-29 ans;288
1983;Tuamotu-Gambier;Femme;30-34 ans;226
1983;Tuamotu-Gambier;Femme;35-39 ans;165
1983;Tuamotu-Gambier;Femme;40-44 ans;164
1983;Tuamotu-Gambier;Femme;45-49 ans;153
1983;Tuamotu-Gambier;Femme;50-54 ans;145
1983;Tuamotu-Gambier;Femme;55-59 ans;109
