Annee;Sexe;AgeQ80;PopulationEstimee
2021;1;40-44 ans;10009,60351
2021;2;40-44 ans;9925,838001
2021;1;45-49 ans;9745,093904
2021;2;45-49 ans;9582,478858
2021;1;50-54 ans;9901,494783
2021;2;50-54 ans;9444,054915
2021;1;55-59 ans;8544,911587
2021;2;55-59 ans;8105,344316
2021;1;60-64 ans;6737,059308
2021;2;60-64 ans;6310,781439
2021;1;65-69 ans;5339,392092
2021;2;65-69 ans;5083,852279
2021;1;70-74 ans;3221,492037
2021;2;70-74 ans;3292,936299
2021;1;75-79 ans;2255,567271
2021;2;75-79 ans;2415,952224
2021;1;80 ans et plus;1850,186711
2021;2;80 ans et plus;2601,369028
